
                                      ARENA Simulation Results
                                      Jacob - License: STUDENT

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date : 5/ 3/2015
Analyst: Jacob                                                       Model revision date: 5/ 3/2015

Replication ended at time      : 10800.0 Seconds 
Base Time Units: Seconds

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
Resource 22.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 22.Utilization                     .00000     (Insuf)    .00000     .00000     .00000    
Resource 23.NumberBusy                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 23.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 23.Utilization                     .00000     (Insuf)    .00000     .00000     .00000    
Resource 24.NumberBusy                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 24.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 24.Utilization                     .00000     (Insuf)    .00000     .00000     .00000    
Resource 25.NumberBusy                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 25.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 25.Utilization                     .00000     (Insuf)    .00000     .00000     .00000    
Resource 26.NumberBusy                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 26.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 26.Utilization                     .00000     (Insuf)    .00000     .00000     .00000    
Resource 27.NumberBusy                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 27.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 27.Utilization                     .00000     (Insuf)    .00000     .00000     .00000    
Resource 28.NumberBusy                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 28.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 28.Utilization                     .00000     (Insuf)    .00000     .00000     .00000    
Resource 29.NumberBusy                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 29.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 29.Utilization                     .00000     (Insuf)    .00000     .00000     .00000    
Resource 30.NumberBusy                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 30.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 30.Utilization                     .00000     (Insuf)    .00000     .00000     .00000    
Resource 31.NumberBusy                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 31.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 31.Utilization                     .00000     (Insuf)    .00000     .00000     .00000    
Resource 32.NumberBusy                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 32.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 32.Utilization                     .00000     (Insuf)    .00000     .00000     .00000    
Resource 33.NumberBusy                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 33.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 33.Utilization                     .00000     (Insuf)    .00000     .00000     .00000    
Resource 34.NumberBusy                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 34.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 34.Utilization                     .00000     (Insuf)    .00000     .00000     .00000    
Resource 35.NumberBusy                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 35.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 35.Utilization                     .00000     (Insuf)    .00000     .00000     .00000    
Resource 36.NumberBusy                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 36.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 36.Utilization                     .00000     (Insuf)    .00000     .00000     .00000    
Resource 37.NumberBusy                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 37.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 37.Utilization                     .00000     (Insuf)    .00000     .00000     .00000    
Resource 38.NumberBusy                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 38.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 38.Utilization                     .00000     (Insuf)    .00000     .00000     .00000    
Resource 39.NumberBusy                      .00000     (Insuf)    .00000     .00000     .00000    
